1,～である、～いる ,be ,assets/audio/1a.mp3, I am happy.,assets/audio/1ex_present.mp3,was,assets/audio/1b.mp3, I was sad.,assets/audio/1ex_past.mp3
1,～である、～いる ,be ,assets/audio/1a.mp3, I am happy.,assets/audio/1ex_present.mp3,were,assets/audio/1ba.mp3,They were angry.,assets/audio/1exa_past.mp3
2,する ,do ,assets/audio/2a.mp3, I do my homework every day.,assets/audio/2ex_present.mp3,did ,assets/audio/2b.mp3, I did my homework yesterday.,assets/audio/2ex_past.mp3
3,買う ,buy ,assets/audio/3a.mp3, I buy milk at the supermarket.,assets/audio/3ex_present.mp3,bought ,assets/audio/3b.mp3, I bought a pen today.,assets/audio/3ex_past.mp3
4,持ってくる ,bring ,assets/audio/4a.mp3, Please bring a flower to school.,assets/audio/4ex_present.mp3,brought ,assets/audio/4b.mp3, I brought a flower to class.,assets/audio/4ex_past.mp3
5,戦う ,fight ,assets/audio/5a.mp3, We do not fight in school.,assets/audio/5ex_present.mp3,fought ,assets/audio/5b.mp3, The boys fought a little.,assets/audio/5ex_past.mp3
6,思う ,think ,assets/audio/6a.mp3, I think a lot.,assets/audio/6ex_present.mp3,thought ,assets/audio/6b.mp3, I thought of you.,assets/audio/6ex_past.mp3
7,教える ,teach ,assets/audio/7a.mp3, My teacher teaches me to read.,assets/audio/7ex_present.mp3,taught ,assets/audio/7b.mp3, My teacher taught me well.,assets/audio/7ex_past.mp3
8,つかまえる ,catch ,assets/audio/8a.mp3, I usually catch the ball.,assets/audio/8ex_present.mp3,caught ,assets/audio/8b.mp3, I caught the ball.,assets/audio/8ex_past.mp3
9,建てる ,build ,assets/audio/9a.mp3, We build big towers in Tokyo.,assets/audio/9ex_present.mp3,built ,assets/audio/9b.mp3, We built a big tower called Tokyo Sky Tree.,assets/audio/9ex_past.mp3
10,貸す ,lend ,assets/audio/10a.mp3, I often lend you pencils.,assets/audio/10ex_present.mp3,lent ,assets/audio/10b.mp3, I lent him my pen.,assets/audio/10ex_past.mp3
11,送る ,send ,assets/audio/11a.mp3, I send my family a Christmas card every year.,assets/audio/11ex_present.mp3,sent ,assets/audio/11b.mp3, I sent an email to my uncle.,assets/audio/11ex_past.mp3
12,過ごす ,spend ,assets/audio/12a.mp3, I spend my money on idol goods.,assets/audio/12ex_present.mp3,spent ,assets/audio/12b.mp3, I spent all my money at the concert.,assets/audio/12ex_past.mp3
13,感じる ,feel ,assets/audio/13a.mp3, I feel sick today.,assets/audio/13ex_present.mp3,felt ,assets/audio/13b.mp3, I felt much better last night.,assets/audio/13ex_past.mp3
14,持ち続ける ,keep ,assets/audio/14a.mp3, I always keep my promises.,assets/audio/14ex_present.mp3,kept ,assets/audio/14b.mp3, She kept my secret.,assets/audio/14ex_past.mp3
15,出発する ,leave ,assets/audio/15a.mp3, I leave at 7:30 every morning.,assets/audio/15ex_present.mp3,left ,assets/audio/15b.mp3, I left at 8 this morning.,assets/audio/15ex_past.mp3
16,失う ,lose ,assets/audio/16a.mp3, I sometimes lose my keys.,assets/audio/16ex_present.mp3,lost ,assets/audio/16b.mp3, I lost my shoe at school.,assets/audio/16ex_past.mp3
17,眠る ,sleep ,assets/audio/17a.mp3, I sleep in my bed.,assets/audio/17ex_present.mp3,slept ,assets/audio/17b.mp3, I slept for ten hours.,assets/audio/17ex_past.mp3
18,～を横にする ,lay ,assets/audio/18a.mp3, Nurses lay babies on beds at the hospital.,assets/audio/18ex_present.mp3,laid ,assets/audio/18b.mp3, I laid the baby on the bed.,assets/audio/18ex_past.mp3
19,支払う ,pay ,assets/audio/19a.mp3, I always pay for my food at restaurants.,assets/audio/19ex_present.mp3,paid ,assets/audio/19b.mp3, I paid the bill yesterday.,assets/audio/19ex_past.mp3
20,言う ,say ,assets/audio/20a.mp3,I say "hello" to my friends.,assets/audio/20ex_present.mp3,said ,assets/audio/20b.mp3,I said "hello" to my teacher this morning.,assets/audio/20ex_past.mp3
21,売る ,sell ,assets/audio/21a.mp3, I sometimes sell my old toys.,assets/audio/21ex_present.mp3,sold ,assets/audio/21b.mp3, He sold his toys to the store.,assets/audio/21ex_past.mp3
22,話す、知らせる ,tell ,assets/audio/22a.mp3, Please tell me a story.,assets/audio/22ex_present.mp3,told ,assets/audio/22b.mp3, She told a funny joke.,assets/audio/22ex_past.mp3
23,つかむ ,hold ,assets/audio/23a.mp3, I sometimes hold my mother’s hand.,assets/audio/23ex_present.mp3,held ,assets/audio/23b.mp3, I held my mother’s hand tightly.,assets/audio/23ex_past.mp3
24,作る ,make ,assets/audio/24a.mp3, I make a cake every year for my birthday.,assets/audio/24ex_present.mp3,made ,assets/audio/24b.mp3, I made a card for my friend’s birthday this year.,assets/audio/24ex_past.mp3
25,餌を与える ,feed ,assets/audio/25a.mp3, I feed my fish every day.,assets/audio/25ex_present.mp3,fed ,assets/audio/25b.mp3, I fed the dog this morning.,assets/audio/25ex_past.mp3
26,会う ,meet ,assets/audio/26a.mp3, I meet my friends at school.,assets/audio/26ex_present.mp3,met ,assets/audio/26b.mp3, We met at the park today.,assets/audio/26ex_past.mp3
27,導く ,lead ,assets/audio/27a.mp3, I lead the brass band at practices.,assets/audio/27ex_present.mp3,led ,assets/audio/27b.mp3, She led the group this time.,assets/audio/27ex_past.mp3
28,もっている ,have ,assets/audio/28a.mp3, We have a dog.,assets/audio/28ex_present.mp3,had ,assets/audio/28b.mp3, We had a cat last year.,assets/audio/28ex_past.mp3
29,座る ,sit ,assets/audio/29a.mp3, I sit on the chair at school.,assets/audio/29ex_present.mp3,sat ,assets/audio/29b.mp3, I sat down in my friend’s chair.,assets/audio/29ex_past.mp3
30,見つける、分かる ,find ,assets/audio/30a.mp3, I often find my dog outside.,assets/audio/30ex_present.mp3,found ,assets/audio/30b.mp3, I found my dog under the bed.,assets/audio/30ex_past.mp3
31,立っている ,stand ,assets/audio/31a.mp3, I never stand up after swimming.,assets/audio/31ex_present.mp3,stood ,assets/audio/31b.mp3, She stood by the door before class.,assets/audio/31ex_past.mp3
32,理解する ,understand ,assets/audio/32a.mp3, I understand the English lessons at school.,assets/audio/32ex_present.mp3,understood ,assets/audio/32b.mp3, I understood the story today.,assets/audio/32ex_past.mp3
33,勝つ ,win ,assets/audio/33a.mp3, I win every baseball game.,assets/audio/33ex_present.mp3,won ,assets/audio/33b.mp3, We won a prize at the tournament.,assets/audio/33ex_past.mp3
34,切る ,cut ,assets/audio/34a.mp3, I cut paper sometimes in art class. ,assets/audio/34ex_present.mp3,cut ,assets/audio/34b.mp3, I cut the paper in half.,assets/audio/34ex_past.mp3
